,0,1,2,3
0,-1.0,-1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,-1.0
2,0.0,35.0,45.0,52.0
3,0.0,35.0,47.0,54.0
4,0.0,36.0,-1.0,-1.0
5,0.0,36.0,40.0,-1.0
6,0.0,36.0,41.0,-1.0
7,0.0,36.0,42.0,-1.0
8,0.0,36.0,43.0,-1.0
9,0.0,36.0,45.0,-1.0
10,0.0,36.0,46.0,-1.0
11,0.0,36.0,47.0,-1.0
12,0.0,36.0,48.0,-1.0
13,0.0,36.0,49.0,-1.0
14,0.0,36.0,57.0,-1.0
15,0.0,40.0,-1.0,-1.0
16,0.0,40.0,42.0,-1.0
17,0.0,40.0,42.0,46.0
18,0.0,40.0,42.0,49.0
19,0.0,40.0,43.0,46.0
20,0.0,40.0,43.0,50.0
21,0.0,40.0,45.0,-1.0
22,0.0,40.0,45.0,46.0
23,0.0,40.0,45.0,52.0
24,0.0,40.0,46.0,-1.0
25,0.0,40.0,46.0,47.0
26,0.0,40.0,47.0,54.0
27,0.0,40.0,49.0,-1.0
28,0.0,40.0,55.0,67.0
29,0.0,40.0,57.0,-1.0
30,0.0,40.0,59.0,-1.0
31,0.0,41.0,-1.0,-1.0
32,0.0,42.0,-1.0,-1.0
33,0.0,42.0,49.0,54.0
34,0.0,43.0,-1.0,-1.0
35,0.0,43.0,46.0,50.0
36,0.0,43.0,50.0,-1.0
37,0.0,43.0,50.0,55.0
38,0.0,45.0,-1.0,-1.0
39,0.0,45.0,46.0,52.0
40,0.0,45.0,52.0,57.0
41,0.0,46.0,-1.0,-1.0
42,0.0,46.0,47.0,54.0
43,0.0,47.0,-1.0,-1.0
44,0.0,47.0,54.0,59.0
45,0.0,48.0,-1.0,-1.0
46,0.0,49.0,-1.0,-1.0
47,0.0,49.0,55.0,-1.0
48,0.0,49.0,55.0,57.0
49,0.0,50.0,-1.0,-1.0
50,0.0,55.0,-1.0,-1.0
51,0.0,55.0,67.0,-1.0
52,0.0,57.0,-1.0,-1.0
53,0.0,59.0,-1.0,-1.0
54,0.0,60.0,-1.0,-1.0
55,0.0,63.0,-1.0,-1.0
56,3.0,46.0,-1.0,-1.0
57,4.0,42.0,-1.0,-1.0
58,6.0,40.0,42.0,49.0
59,8.0,38.0,52.0,-1.0
60,21.0,-1.0,-1.0,-1.0
61,22.0,-1.0,-1.0,-1.0
62,22.0,34.0,41.0,46.0
63,22.0,34.0,41.0,54.0
64,22.0,34.0,41.0,58.0
65,22.0,34.0,41.0,60.0
66,22.0,34.0,41.0,61.0
67,22.0,46.0,-1.0,-1.0
68,22.0,54.0,-1.0,-1.0
69,22.0,58.0,-1.0,-1.0
70,22.0,60.0,-1.0,-1.0
71,22.0,61.0,-1.0,-1.0
72,23.0,-1.0,-1.0,-1.0
73,23.0,35.0,-1.0,-1.0
74,23.0,35.0,42.0,47.0
75,23.0,36.0,-1.0,-1.0
76,23.0,36.0,49.0,-1.0
77,23.0,40.0,49.0,-1.0
78,23.0,42.0,47.0,-1.0
79,23.0,47.0,54.0,-1.0
80,23.0,49.0,-1.0,-1.0
81,23.0,50.0,-1.0,-1.0
82,23.0,54.0,-1.0,-1.0
83,24.0,-1.0,-1.0,-1.0
84,24.0,36.0,38.0,43.0
